GEMS Station Number;Local Station Number;Country Name;Water Type;Station Identifier;Station Narrative;Water Body Name;Main Basin;Upstream Basin Area;Elevation;Monitoring Type;Date Station Opened;Responsible Collection Agency;Latitude;Longitude;River Width;Discharge;Max. Depth;Lake Area;Lake Volume;Average Retention;Area of Aquifer;Depth of Impermeable Lining;Production Zone;Mean Abstraction Rate;Mean Abstraction Level
GRC01070;EL07070707;Greece;Groundwater station;II52A;;;;;460;TREND;;European Environment Agency;38,64074;22,49149;;;;;;;;;;;
GRC01071;EL07070708;Greece;Groundwater station;III-31;;;;;198;TREND;;European Environment Agency;38,63354;22,72312;;;;;;;;;;;
GRC01072;EL07070709;Greece;Groundwater station;VII-421;;;;;132;TREND;;European Environment Agency;38,60315;22,83073;;;;;;;;;;;
GRC01073;EL07070710;Greece;Groundwater station;XI-44;;;;;124;TREND;;European Environment Agency;38,56073;22,82556;;;;;;;;;;;
GRC01074;EL07070711;Greece;Groundwater station;XVI-162;;;;;127;TREND;;European Environment Agency;38,56485;22,79504;;;;;;;;;;;
GRC01075;EL07070747;Greece;Groundwater station;II52;;;;;316;TREND;;European Environment Agency;38,6646;22,4875;;;;;;;;;;;
GRC01076;EL07070748;Greece;Groundwater station;VII120;;;;;133;TREND;;European Environment Agency;38,60671;22,78141;;;;;;;;;;;
GRC01077;EL07080709;Greece;Groundwater station;P KIR;;;;;14;TREND;;European Environment Agency;38,43571;22,45272;;;;;;;;;;;
GRC01078;EL07080712;Greece;Groundwater station;III 17;;;;;166;TREND;;European Environment Agency;38,61691;22,69851;;;;;;;;;;;
GRC01079;EL07080713;Greece;Groundwater station;III-9;;;;;182;TREND;;European Environment Agency;38,62879;22,64735;;;;;;;;;;;
GRC01080;EL07080714;Greece;Groundwater station;III-208;;;;;245;TREND;;European Environment Agency;38,59025;22,69858;;;;;;;;;;;
GRC01081;EL07080715;Greece;Groundwater station;III-244A;;;;;284;TREND;;European Environment Agency;38,60192;22,67369;;;;;;;;;;;
GRC01082;EL07080716;Greece;Groundwater station;III-316;;;;;306;TREND;;European Environment Agency;38,57752;22,69778;;;;;;;;;;;
GRC01083;EL07080717;Greece;Groundwater station;XVI 225;;;;;160;TREND;;European Environment Agency;38,57601;22,75113;;;;;;;;;;;
GRC01084;EL07090713;Greece;Groundwater station;VIII 87;;;;;393;TREND;;European Environment Agency;38,46321;22,69073;;;;;;;;;;;
GRC01085;EL07090717;Greece;Groundwater station;VIII-87;;;;;245;TREND;;European Environment Agency;38,47793;22,74293;;;;;;;;;;;
GRC01086;EL07090718;Greece;Groundwater station;IC-58;;;;;325;TREND;;European Environment Agency;38,45039;22,77527;;;;;;;;;;;
GRC01087;EL07100715;Greece;Groundwater station;G A3;;;;;140;TREND;;European Environment Agency;38,67528;22,97693;;;;;;;;;;;
GRC01088;EL07100719;Greece;Groundwater station;AT G15;;;;;132;TREND;;European Environment Agency;38,68791;23,02882;;;;;;;;;;;
GRC01089;EL07100720;Greece;Groundwater station;AT G34;;;;;73;TREND;;European Environment Agency;38,69968;23,04133;;;;;;;;;;;
GRC01090;EL07100721;Greece;Groundwater station;AT G41;;;;;107;TREND;;European Environment Agency;38,6663;22,9837;;;;;;;;;;;
GRC01091;EL07100722;Greece;Groundwater station;AT G42;;;;;65;TREND;;European Environment Agency;38,6641;23,00693;;;;;;;;;;;
GRC01092;EL07100723;Greece;Groundwater station;AT G536;;;;;7;TREND;;European Environment Agency;38,72834;23,05418;;;;;;;;;;;
GRC01093;EL07100724;Greece;Groundwater station;07 G5;;;;;62;TREND;;European Environment Agency;38,66208;23,00521;;;;;;;;;;;
GRC01094;EL07100725;Greece;Groundwater station;AT G606;;;;;2;TREND;;European Environment Agency;38,66866;23,0691;;;;;;;;;;;
GRC01095;EL07100726;Greece;Groundwater station;AT G560;;;;;16;TREND;;European Environment Agency;38,69943;23,05811;;;;;;;;;;;
GRC01096;EL07110716;Greece;Groundwater station;G KAL;;;;;287;TREND;;European Environment Agency;38,60951;22,9171;;;;;;;;;;;
GRC01097;EL07110718;Greece;Groundwater station;XVI 590;;;;;127;TREND;;European Environment Agency;38,57915;22,80605;;;;;;;;;;;
GRC01098;EL07110719;Greece;Groundwater station;VIII P18;;;;;175;TREND;;European Environment Agency;38,53947;22,79568;;;;;;;;;;;
GRC01099;EL07110720;Greece;Groundwater station;P25;;;;;136;TREND;;European Environment Agency;38,49723;22,96373;;;;;;;;;;;
GRC01100;EL07110725;Greece;Groundwater station;XVII 30;;;;;94;TREND;;European Environment Agency;38,50798;23,06119;;;;;;;;;;;
GRC01101;EL07110726;Greece;Groundwater station;VIII-46;;;;;145;TREND;;European Environment Agency;38,53169;22,79835;;;;;;;;;;;
GRC01102;EL07110727;Greece;Groundwater station;VII-386;;;;;145;TREND;;European Environment Agency;38,59416;22,83592;;;;;;;;;;;
GRC01103;EL07110728;Greece;Groundwater station;XI-39;;;;;146;TREND;;European Environment Agency;38,557;22,83898;;;;;;;;;;;
GRC01104;EL07110729;Greece;Groundwater station;XVI-46;;;;;105;TREND;;European Environment Agency;38,49426;22,94577;;;;;;;;;;;
GRC01105;EL07110730;Greece;Groundwater station;XVI-56;;;;;117;TREND;;European Environment Agency;38,52813;22,83251;;;;;;;;;;;
GRC01106;EL07110731;Greece;Groundwater station;XVII-28;;;;;111;TREND;;European Environment Agency;38,48478;23,10279;;;;;;;;;;;
GRC01107;EL07110732;Greece;Groundwater station;XVII-91;;;;;109;TREND;;European Environment Agency;38,51801;23,19078;;;;;;;;;;;
GRC01108;EL07120721;Greece;Groundwater station;XVII 92;;;;;95;TREND;;European Environment Agency;38,5161;23,02684;;;;;;;;;;;
GRC01109;EL07120733;Greece;Groundwater station;AYL-1;;;;;118;TREND;;European Environment Agency;38,51121;22,82508;;;;;;;;;;;
GRC01110;EL07120734;Greece;Groundwater station;AYL-9;;;;;111;TREND;;European Environment Agency;38,50484;22,85698;;;;;;;;;;;
GRC01111;EL07120735;Greece;Groundwater station;XVI385;;;;;100;TREND;;European Environment Agency;38,42985;22,95771;;;;;;;;;;;
GRC01112;EL07120736;Greece;Groundwater station;ART-4;;;;;120;TREND;;European Environment Agency;38,37623;23,04675;;;;;;;;;;;
GRC01113;EL07120737;Greece;Groundwater station;AY-4;;;;;31;TREND;;European Environment Agency;38,55737;24,1573;;;;;;;;;;;
GRC01114;EL07120738;Greece;Groundwater station;B10;;;;;93;TREND;;European Environment Agency;38,35177;23,15557;;;;;;;;;;;
GRC01115;EL07120739;Greece;Groundwater station;XIV-8;;;;;115;TREND;;European Environment Agency;38,40554;22,96433;;;;;;;;;;;
GRC01116;EL07120740;Greece;Groundwater station;CVI384;;;;;114;TREND;;European Environment Agency;38,4407;22,9356;;;;;;;;;;;
GRC01117;EL07120758;Greece;Groundwater station;XVI-544;;;;;97;TREND;;European Environment Agency;38,43075;22,98475;;;;;;;;;;;
GRC01118;EL07120762;Greece;Groundwater station;M216;;;;;100;TREND;;European Environment Agency;38,38689;23,11919;;;;;;;;;;;
GRC01119;EL07120763;Greece;Groundwater station;M217;;;;;100;TREND;;European Environment Agency;38,412;22,9946;;;;;;;;;;;
GRC01120;EL07130726;Greece;Groundwater station;XVII 27;;;;;125;TREND;;European Environment Agency;38,49766;23,2418;;;;;;;;;;;
GRC01121;EL07130727;Greece;Groundwater station;XVI 28;;;;;105;TREND;;European Environment Agency;38,41159;23,16748;;;;;;;;;;;
GRC01122;EL07130728;Greece;Groundwater station;G 1;;;;;97;TREND;;European Environment Agency;38,36072;23,1903;;;;;;;;;;;
GRC01123;EL07130733;Greece;Groundwater station;EP 10;;;;;100;TREND;;European Environment Agency;38,44791;23,31179;;;;;;;;;;;
GRC01124;EL07130736;Greece;Groundwater station;07 G2;;;;;133;TREND;;European Environment Agency;38,35664;23,25808;;;;;;;;;;;
GRC01125;EL07130740;Greece;Groundwater station;XVI-19;;;;;113;TREND;;European Environment Agency;38,4809;23,2058;;;;;;;;;;;
GRC01126;EL07130741;Greece;Groundwater station;XVI-26;;;;;111;TREND;;European Environment Agency;38,43408;23,22639;;;;;;;;;;;
GRC01127;EL07130742;Greece;Groundwater station;TH110;;;;;110;TREND;;European Environment Agency;38,34282;23,28958;;;;;;;;;;;
GRC01128;EL07130743;Greece;Groundwater station;TH273;;;;;113;TREND;;European Environment Agency;38,35807;23,34603;;;;;;;;;;;
GRC01129;EL07130744;Greece;Groundwater station;TH402;;;;;85;TREND;;European Environment Agency;38,40239;23,34021;;;;;;;;;;;
GRC01130;EL07130745;Greece;Groundwater station;B125;;;;;113;TREND;;European Environment Agency;38,33618;23,24971;;;;;;;;;;;
GRC01131;EL07130746;Greece;Groundwater station;B110;;;;;91;TREND;;European Environment Agency;38,35026;23,21838;;;;;;;;;;;
GRC01132;EL07140732;Greece;Groundwater station;TH600;;;;;190;TREND;;European Environment Agency;38,39186;23,45994;;;;;;;;;;;
GRC01133;EL07140747;Greece;Groundwater station;TH543;;;;;139;TREND;;European Environment Agency;38,36427;23,40879;;;;;;;;;;;
GRC01134;EL07140748;Greece;Groundwater station;TH504;;;;;194;TREND;;European Environment Agency;38,43038;23,38479;;;;;;;;;;;
GRC01135;EL07140749;Greece;Groundwater station;TH587;;;;;140;TREND;;European Environment Agency;38,3833;23,43077;;;;;;;;;;;
GRC01136;EL07140776;Greece;Groundwater station;AG23;;;;;69;TREND;;European Environment Agency;38,38552;23,57545;;;;;;;;;;;
GRC01137;EL07140777;Greece;Groundwater station;AG19;;;;;90;TREND;;European Environment Agency;38,40448;23,5755;;;;;;;;;;;
GRC01138;EL07140778;Greece;Groundwater station;AG25;;;;;12;TREND;;European Environment Agency;38,39226;23,61709;;;;;;;;;;;
GRC01139;EL07150722;Greece;Groundwater station;P7;;;;;188;TREND;;European Environment Agency;38,43334;22,87403;;;;;;;;;;;
GRC01140;EL07150729;Greece;Groundwater station;G ASKRHS;;;;;485;TREND;;European Environment Agency;38,32631;23,06819;;;;;;;;;;;
GRC01141;EL07160730;Greece;Groundwater station;07 G1;;;;;307;TREND;;European Environment Agency;38,29544;23,1569;;;;;;;;;;;
GRC01142;EL07160734;Greece;Groundwater station;TH39;;;;;116;TREND;;European Environment Agency;38,33484;23,29293;;;;;;;;;;;
GRC01143;EL07160749;Greece;Groundwater station;TH447;;;;;142;TREND;;European Environment Agency;38,32527;23,29887;;;;;;;;;;;
GRC01144;EL07160751;Greece;Groundwater station;B61;;;;;98;TREND;;European Environment Agency;38,34156;23,19029;;;;;;;;;;;
GRC01145;EL07160753;Greece;Groundwater station;TH461;;;;;86;TREND;;European Environment Agency;38,41035;23,34804;;;;;;;;;;;
GRC01146;EL07160754;Greece;Groundwater station;TH551;;;;;155;TREND;;European Environment Agency;38,37545;23,45227;;;;;;;;;;;
GRC01147;EL07160755;Greece;Groundwater station;TH122A;;;;;138;TREND;;European Environment Agency;38,33237;23,30952;;;;;;;;;;;
GRC01148;EL07160756;Greece;Groundwater station;B44;;;;;108;TREND;;European Environment Agency;38,33563;23,18448;;;;;;;;;;;
GRC01149;EL07160760;Greece;Groundwater station;M204;;;;;285;TREND;;European Environment Agency;38,24213;23,27368;;;;;;;;;;;
GRC01150;EL07160764;Greece;Groundwater station;M218;;;;;285;TREND;;European Environment Agency;38,25555;23,22899;;;;;;;;;;;
GRC01151;EL07160765;Greece;Groundwater station;M222;;;;;295;TREND;;European Environment Agency;38,28597;23,3299;;;;;;;;;;;
GRC01152;EL07160766;Greece;Groundwater station;AG27;;;;;222;TREND;;European Environment Agency;38,35522;23,47778;;;;;;;;;;;
GRC01153;EL07160767;Greece;Groundwater station;AG20;;;;;169;TREND;;European Environment Agency;38,40718;23,5296;;;;;;;;;;;
GRC01154;EL07160768;Greece;Groundwater station;AG21;;;;;172;TREND;;European Environment Agency;38,4075;23,52741;;;;;;;;;;;
GRC01155;EL07170738;Greece;Groundwater station;07 G3;;;;;73;TREND;;European Environment Agency;38,30067;23,62882;;;;;;;;;;;
GRC01156;EL07170756;Greece;Groundwater station;EM-22;;;;;214;TREND;;European Environment Agency;38,25431;23,64564;;;;;;;;;;;
GRC01157;EL07170757;Greece;Groundwater station;OIN-G;;;;;72;TREND;;European Environment Agency;38,30187;23,63972;;;;;;;;;;;
GRC01158;EL07170758;Greece;Groundwater station;G-9;;;;;74;TREND;;European Environment Agency;38,29825;23,63678;;;;;;;;;;;
GRC01159;EL07170759;Greece;Groundwater station;G-97;;;;;68;TREND;;European Environment Agency;38,29252;23,69013;;;;;;;;;;;
GRC01160;EL07170760;Greece;Groundwater station;G-101;;;;;90;TREND;;European Environment Agency;38,30179;23,59343;;;;;;;;;;;
GRC01161;EL07170769;Greece;Groundwater station;AG10;;;;;92;TREND;;European Environment Agency;38,28976;23,64349;;;;;;;;;;;
GRC01162;EL07170770;Greece;Groundwater station;AG14;;;;;84;TREND;;European Environment Agency;38,29174;23,62745;;;;;;;;;;;
GRC01163;EL07170771;Greece;Groundwater station;AG81;;;;;113;TREND;;European Environment Agency;38,31474;23,66855;;;;;;;;;;;
GRC01164;EL07170772;Greece;Groundwater station;AG29;;;;;235;TREND;;European Environment Agency;38,28133;23,47404;;;;;;;;;;;
GRC01165;EL07180714;Greece;Groundwater station;IST4;;;;;24;TREND;;European Environment Agency;38,97708;23,16545;;;;;;;;;;;
GRC01166;EL07180723;Greece;Groundwater station;07 G8;;;;;16;TREND;;European Environment Agency;38,95135;23,10375;;;;;;;;;;;
GRC01167;EL07190731;Greece;Groundwater station;G MANTA;;;;;22;TREND;;European Environment Agency;38,80193;23,48564;;;;;;;;;;;
GRC01168;EL07190756;Greece;Groundwater station;KHR-16;;;;;16;TREND;;European Environment Agency;38,8055;23,47955;;;;;;;;;;;
GRC01169;EL07190757;Greece;Groundwater station;KHR-6;;;;;13;TREND;;European Environment Agency;38,80678;23,49723;;;;;;;;;;;
GRC01170;EL07200739;Greece;Groundwater station;DIR 1;;;;;341;TREND;;European Environment Agency;38,57449;23,82342;;;;;;;;;;;
GRC01171;EL07200761;Greece;Groundwater station;DIR-12;;;;;326;TREND;;European Environment Agency;38,61043;23,79683;;;;;;;;;;;
GRC01172;EL07200762;Greece;Groundwater station;MES-17;;;;;284;TREND;;European Environment Agency;38,62402;23,69009;;;;;;;;;;;
GRC01173;EL07200763;Greece;Groundwater station;MES-P6;;;;;555;TREND;;European Environment Agency;38,64702;23,58204;;;;;;;;;;;
GRC01174;EL07200764;Greece;Groundwater station;MES-35;;;;;78;TREND;;European Environment Agency;38,70936;23,74673;;;;;;;;;;;
GRC01175;EL07200765;Greece;Groundwater station;MES-P3;;;;;241;TREND;;European Environment Agency;38,62461;23,75906;;;;;;;;;;;
GRC01176;EL07200766;Greece;Groundwater station;KHR-4;;;;;16;TREND;;European Environment Agency;38,75984;23,59048;;;;;;;;;;;
GRC01177;EL07210743;Greece;Groundwater station;P KRB;;;;;88;TREND;;European Environment Agency;38,55875;24,04903;;;;;;;;;;;
GRC01178;EL07220737;Greece;Groundwater station;07 G9;;;;;48;TREND;;European Environment Agency;38,57754;23,67971;;;;;;;;;;;
GRC01179;EL07220761;Greece;Groundwater station;M211;;;;;9;TREND;;European Environment Agency;38,5669;23,62566;;;;;;;;;;;
GRC01180;EL07220767;Greece;Groundwater station;AR-4;;;;;35;TREND;;European Environment Agency;38,52111;23,6483;;;;;;;;;;;
GRC01181;EL07220768;Greece;Groundwater station;PSF-1;;;;;14;TREND;;European Environment Agency;38,57581;23,63207;;;;;;;;;;;
GRC01182;EL07220769;Greece;Groundwater station;PSF-23;;;;;5;TREND;;European Environment Agency;38,56389;23,61912;;;;;;;;;;;
GRC01183;EL07220770;Greece;Groundwater station;PSF-97;;;;;21;TREND;;European Environment Agency;38,53543;23,63142;;;;;;;;;;;
GRC01184;EL07230740;Greece;Groundwater station;G4 ERET;;;;;165;TREND;;European Environment Agency;38,42334;23,79005;;;;;;;;;;;
GRC01185;EL07230741;Greece;Groundwater station;BAS 11;;;;;14;TREND;;European Environment Agency;38,42282;23,65559;;;;;;;;;;;
GRC01186;EL07230752;Greece;Groundwater station;BAS-6;;;;;70;TREND;;European Environment Agency;38,43962;23,69356;;;;;;;;;;;
GRC01187;EL07230771;Greece;Groundwater station;BAS-7;;;;;28;TREND;;European Environment Agency;38,44368;23,67745;;;;;;;;;;;
GRC01188;EL07230772;Greece;Groundwater station;BAS-9;;;;;49;TREND;;European Environment Agency;38,45766;23,67452;;;;;;;;;;;
GRC01189;EL07230773;Greece;Groundwater station;BAS-10;;;;;57;TREND;;European Environment Agency;38,44186;23,63041;;;;;;;;;;;
GRC01190;EL07230774;Greece;Groundwater station;DIR-8;;;;;269;TREND;;European Environment Agency;38,48476;23,78145;;;;;;;;;;;
GRC01191;EL07230775;Greece;Groundwater station;AMR-4;;;;;21;TREND;;European Environment Agency;38,40218;23,90048;;;;;;;;;;;
GRC01192;EL07240744;Greece;Groundwater station;07 G10;;;;;8;TREND;;European Environment Agency;38,02261;24,39328;;;;;;;;;;;
GRC01193;EL07240776;Greece;Groundwater station;MARM-1;;;;;121;TREND;;European Environment Agency;38,03437;24,32925;;;;;;;;;;;
GRC01194;EL07240777;Greece;Groundwater station;MARM-3;;;;;177;TREND;;European Environment Agency;38,0825;24,3531;;;;;;;;;;;
GRC01195;EL07240778;Greece;Groundwater station;KARP-1;;;;;251;TREND;;European Environment Agency;38,0507;24,41335;;;;;;;;;;;
GRC01196;EL07240779;Greece;Groundwater station;MARM-10;;;;;239;TREND;;European Environment Agency;38,04912;24,36639;;;;;;;;;;;
GRC01197;EL07240780;Greece;Groundwater station;KARP-4;;;;;167;TREND;;European Environment Agency;38,02091;24,44244;;;;;;;;;;;
GRC01198;EL08010801;Greece;Groundwater station;P5;;;;;248;TREND;;European Environment Agency;39,68762;21,59673;;;;;;;;;;;
GRC01199;EL08010802;Greece;Groundwater station;P39;;;;;386;TREND;;European Environment Agency;39,55144;21,57231;;;;;;;;;;;
GRC01200;EL08010803;Greece;Groundwater station;P58;;;;;265;TREND;;European Environment Agency;39,45936;21,60586;;;;;;;;;;;
GRC01201;EL08010807;Greece;Groundwater station;KP9;;;;;191;TREND;;European Environment Agency;39,26463;21,93032;;;;;;;;;;;
GRC01202;EL08020804;Greece;Groundwater station;TP3;;;;;126;TREND;;European Environment Agency;39,57261;21,94545;;;;;;;;;;;
GRC01203;EL08020854;Greece;Groundwater station;T680;;;;;92;TREND;;European Environment Agency;39,56664;21,91949;;;;;;;;;;;
GRC01204;EL08030805;Greece;Groundwater station;08 G5;;;;;101;TREND;;European Environment Agency;39,5185;21,80944;;;;;;;;;;;
GRC01205;EL08030806;Greece;Groundwater station;08 G4;;;;;92;TREND;;European Environment Agency;39,44799;21,96814;;;;;;;;;;;
GRC01206;EL08030814;Greece;Groundwater station;08 G1;;;;;114;TREND;;European Environment Agency;39,30121;22,1282;;;;;;;;;;;
GRC01207;EL08030821;Greece;Groundwater station;08 G2;;;;;131;TREND;;European Environment Agency;39,33547;22,3773;;;;;;;;;;;
GRC01208;EL08030835;Greece;Groundwater station;BN127;;;;;144;TREND;;European Environment Agency;39,63169;21,69277;;;;;;;;;;;
GRC01209;EL08030839;Greece;Groundwater station;D563;;;;;120;TREND;;European Environment Agency;39,19078;22,2507;;;;;;;;;;;
GRC01210;EL08030840;Greece;Groundwater station;S607;;;;;96;TREND;;European Environment Agency;39,4397;22,17595;;;;;;;;;;;
GRC01211;EL08030846;Greece;Groundwater station;KL659;;;;;117;TREND;;European Environment Agency;39,52629;21,67665;;;;;;;;;;;
GRC01212;EL08030847;Greece;Groundwater station;M644;;;;;114;TREND;;European Environment Agency;39,46766;21,74283;;;;;;;;;;;
GRC01213;EL08030848;Greece;Groundwater station;M647;;;;;111;TREND;;European Environment Agency;39,49431;21,72765;;;;;;;;;;;
GRC01214;EL08030850;Greece;Groundwater station;S541;;;;;108;TREND;;European Environment Agency;39,2588;22,22343;;;;;;;;;;;
GRC01215;EL08030851;Greece;Groundwater station;S543;;;;;115;TREND;;European Environment Agency;39,27136;22,15907;;;;;;;;;;;
GRC01216;EL08030852;Greece;Groundwater station;S597;;;;;98;TREND;;European Environment Agency;39,39956;22,08609;;;;;;;;;;;
GRC01217;EL08030855;Greece;Groundwater station;FA512;;;;;153;TREND;;European Environment Agency;39,33826;22,42609;;;;;;;;;;;
GRC01218;EL08030858;Greece;Groundwater station;FK35;;;;;90;TREND;;European Environment Agency;39,59835;22,05583;;;;;;;;;;;
GRC01219;EL08030863;Greece;Groundwater station;M244;;;;;118;TREND;;European Environment Agency;39,5267;21,68227;;;;;;;;;;;
GRC01220;EL08030864;Greece;Groundwater station;M255;;;;;118;TREND;;European Environment Agency;39,4397;21,7452;;;;;;;;;;;
GRC01221;EL08030865;Greece;Groundwater station;M256;;;;;96;TREND;;European Environment Agency;39,45814;21,86147;;;;;;;;;;;
GRC01222;EL08030866;Greece;Groundwater station;S588;;;;;106;TREND;;European Environment Agency;39,34488;22,10769;;;;;;;;;;;
GRC01223;EL08030867;Greece;Groundwater station;S556;;;;;107;TREND;;European Environment Agency;39,35382;22,23826;;;;;;;;;;;
GRC01224;EL08030868;Greece;Groundwater station;L565;;;;;116;TREND;;European Environment Agency;39,21882;22,17158;;;;;;;;;;;
GRC01225;EL08030869;Greece;Groundwater station;S614A;;;;;88;TREND;;European Environment Agency;39,47356;22,06643;;;;;;;;;;;
GRC01226;EL08030870;Greece;Groundwater station;S585;;;;;111;TREND;;European Environment Agency;39,32525;22,01164;;;;;;;;;;;
GRC01227;EL08030871;Greece;Groundwater station;D617;;;;;120;TREND;;European Environment Agency;39,21961;22,28418;;;;;;;;;;;
GRC01228;EL08040808;Greece;Groundwater station;4 GT1 96;;;;;549;TREND;;European Environment Agency;40,07448;22,09657;;;;;;;;;;;
GRC01229;EL08040853;Greece;Groundwater station;SG8A;;;;;513;TREND;;European Environment Agency;40,06313;22,11723;;;;;;;;;;;
GRC01230;EL08050809;Greece;Groundwater station;P1;;;;;265;TREND;;European Environment Agency;39,90107;22,07267;;;;;;;;;;;
GRC01231;EL08060810;Greece;Groundwater station;P2;;;;;173;TREND;;European Environment Agency;39,80458;22,09575;;;;;;;;;;;
GRC01232;EL08060836;Greece;Groundwater station;EG6;;;;;189;TREND;;European Environment Agency;39,8282;22,10039;;;;;;;;;;;
GRC01233;EL08070811;Greece;Groundwater station;9 SR112A;;;;;164;TREND;;European Environment Agency;39,73847;22,24099;;;;;;;;;;;
GRC01234;EL08070812;Greece;Groundwater station;FKP24;;;;;89;TREND;;European Environment Agency;39,56292;22,11135;;;;;;;;;;;
GRC01235;EL08070817;Greece;Groundwater station;GP1;;;;;90;TREND;;European Environment Agency;39,81285;22,27451;;;;;;;;;;;
GRC01236;EL08070818;Greece;Groundwater station;GP2;;;;;82;TREND;;European Environment Agency;39,77542;22,30413;;;;;;;;;;;
GRC01237;EL08070820;Greece;Groundwater station;08 G8;;;;;198;TREND;;European Environment Agency;39,65743;22,258;;;;;;;;;;;
GRC01238;EL08070857;Greece;Groundwater station;FK197;;;;;99;TREND;;European Environment Agency;39,57784;22,19089;;;;;;;;;;;
GRC01239;EL08080813;Greece;Groundwater station;S29;;;;;106;TREND;;European Environment Agency;39,41586;22,23208;;;;;;;;;;;
GRC01240;EL08090815;Greece;Groundwater station;L127;;;;;195;TREND;;European Environment Agency;39,21034;22,05467;;;;;;;;;;;
GRC01241;EL08090823;Greece;Groundwater station;FM;;;;;473;TREND;;European Environment Agency;39,07853;22,31853;;;;;;;;;;;
GRC01242;EL08100816;Greece;Groundwater station;LP40;;;;;123;TREND;;European Environment Agency;39,15874;22,22295;;;;;;;;;;;
GRC01243;EL08110819;Greece;Groundwater station;AD1;;;;;88;TREND;;European Environment Agency;39,72627;22,2937;;;;;;;;;;;
GRC01244;EL08110826;Greece;Groundwater station;AD9;;;;;66;TREND;;European Environment Agency;39,6379;22,5059;;;;;;;;;;;
GRC01245;EL08110827;Greece;Groundwater station;08 G6;;;;;61;TREND;;European Environment Agency;39,47872;22,69612;;;;;;;;;;;
GRC01246;EL08110841;Greece;Groundwater station;AG17;;;;;64;TREND;;European Environment Agency;39,42718;22,73714;;;;;;;;;;;
GRC01247;EL08110843;Greece;Groundwater station;AD4;;;;;80;TREND;;European Environment Agency;39,68715;22,33467;;;;;;;;;;;
GRC01248;EL08110845;Greece;Groundwater station;EL44;;;;;68;TREND;;European Environment Agency;39,71158;22,38902;;;;;;;;;;;
GRC01249;EL08110849;Greece;Groundwater station;P267;;;;;54;TREND;;European Environment Agency;39,53315;22,66799;;;;;;;;;;;
GRC01250;EL08110860;Greece;Groundwater station;M237A;;;;;94;TREND;;European Environment Agency;39,819;22,31789;;;;;;;;;;;
GRC01251;EL08110861;Greece;Groundwater station;M238;;;;;78;TREND;;European Environment Agency;39,6788;22,345;;;;;;;;;;;
GRC01252;EL08110862;Greece;Groundwater station;M240;;;;;92;TREND;;European Environment Agency;39,63026;22,2939;;;;;;;;;;;
GRC01253;EL08110872;Greece;Groundwater station;P222;;;;;60;TREND;;European Environment Agency;39,67265;22,54468;;;;;;;;;;;
GRC01254;EL08110873;Greece;Groundwater station;P241;;;;;85;TREND;;European Environment Agency;39,55956;22,52176;;;;;;;;;;;
GRC01255;EL08110874;Greece;Groundwater station;LR218;;;;;76;TREND;;European Environment Agency;39,60126;22,45602;;;;;;;;;;;
GRC01256;EL08110875;Greece;Groundwater station;LR231;;;;;66;TREND;;European Environment Agency;39,66482;22,4648;;;;;;;;;;;
GRC01257;EL08110876;Greece;Groundwater station;P226;;;;;69;TREND;;European Environment Agency;39,60073;22,5365;;;;;;;;;;;
GRC01258;EL08110877;Greece;Groundwater station;P233A;;;;;59;TREND;;European Environment Agency;39,58231;22,59336;;;;;;;;;;;
GRC01259;EL08110878;Greece;Groundwater station;SR63;;;;;58;TREND;;European Environment Agency;39,4153;22,77437;;;;;;;;;;;
GRC01260;EL08110879;Greece;Groundwater station;K4;;;;;48;TREND;;European Environment Agency;39,44696;22,78841;;;;;;;;;;;
GRC01261;EL08110880;Greece;Groundwater station;K5;;;;;57;TREND;;European Environment Agency;39,46726;22,72598;;;;;;;;;;;
GRC01262;EL08120825;Greece;Groundwater station;R9;;;;;59;TREND;;European Environment Agency;39,88965;22,6114;;;;;;;;;;;
GRC01263;EL08130829;Greece;Groundwater station;YG3 82N;;;;;119;TREND;;European Environment Agency;39,23749;22,6928;;;;;;;;;;;
GRC01264;EL08130859;Greece;Groundwater station;M236A;;;;;294;TREND;;European Environment Agency;39,27289;22,6248;;;;;;;;;;;
GRC01265;EL08140830;Greece;Groundwater station;YG6 84;;;;;68;TREND;;European Environment Agency;39,20971;22,73948;;;;;;;;;;;
GRC01266;EL08140838;Greece;Groundwater station;G70;;;;;33;TREND;;European Environment Agency;39,24009;22,76491;;;;;;;;;;;
GRC01267;EL08140842;Greece;Groundwater station;F10;;;;;5;TREND;;European Environment Agency;39,13388;22,8582;;;;;;;;;;;
GRC01268;EL08140844;Greece;Groundwater station;G95;;;;;19;TREND;;European Environment Agency;39,25883;22,78024;;;;;;;;;;;
GRC01269;EL08140881;Greece;Groundwater station;G53;;;;;113;TREND;;European Environment Agency;39,20359;22,70854;;;;;;;;;;;
GRC01270;EL08140882;Greece;Groundwater station;G58;;;;;87;TREND;;European Environment Agency;39,18752;22,73248;;;;;;;;;;;
GRC01271;EL08140883;Greece;Groundwater station;G61;;;;;63;TREND;;European Environment Agency;39,17572;22,75056;;;;;;;;;;;
GRC01272;EL08140884;Greece;Groundwater station;G33;;;;;35;TREND;;European Environment Agency;39,09265;22,8711;;;;;;;;;;;
GRC01273;EL08150831;Greece;Groundwater station;B12A;;;;;76;TREND;;European Environment Agency;39,4632;22,8762;;;;;;;;;;;
