Parameter Code;Analysis Method Code;Unit;Parameter Long Name;Method Name;Method Type;Method Number;Method Source;Method Description
24DDD;APAT5060_2003;µg/l;2,4'-DDD;Plant protection products (LLE or SPE + GC-NPD or HPLC-UV or GC-MS);Chromatography;APAT 2003;APAT 2003;
24DDD;VMV_2863;ng/l;2,4'-DDD;Analysis of OCs, PCBs, CBs and PAHs in 1 L water samples by GC-ECD and GC-MSD.;Chromatography;VMV Method;VMV Method;
24DDD;VMV_3654;ng/l;2,4'-DDD;Chlorobenzenes and organochlorine pesticides by liquid-liquid extraction and GC-MS/MS detection.;Chromatography;VMV Method;VMV Method;
24DDE;0;µg/l;2,4'-DDE;;;;;Undefined Analysis Method
24DDE;APAT5060_2003;µg/l;2,4'-DDE;Plant protection products (LLE or SPE + GC-NPD or HPLC-UV or GC-MS);Chromatography;APAT 2003;APAT 2003;
24DDE;VMV_2863;ng/l;2,4'-DDE;Analysis of OCs, PCBs, CBs and PAHs in 1 L water samples by GC-ECD and GC-MSD.;Chromatography;VMV Method;VMV Method;
24DDE;VMV_3654;ng/l;2,4'-DDE;Chlorobenzenes and organochlorine pesticides by liquid-liquid extraction and GC-MS/MS detection.;Chromatography;VMV Method;VMV Method;
24DDT;0;µg/l;2,4'-DDT;;;;;Undefined Analysis Method
24DDT;APAT5060_2003;µg/l;2,4'-DDT;Plant protection products (LLE or SPE + GC-NPD or HPLC-UV or GC-MS);Chromatography;APAT 2003;APAT 2003;
24DDT;EPA8080A;µg/l;2,4'-DDT;Organochlorine Pesticides and Polychlorinated Biphenyls by Gas Chromatography;Chromatography;8080A;EPA 1994;
24DDT;EPA8270D;µg/l;2,4'-DDT;Semivolatile Organic Compounds by Gas Chromatography/Mass Spectrometry;Chromatography;8270D;EPA 1998;
24DDT;ISO6468_1996;µg/l;2,4'-DDT;Determination of organochlorine pesticides by GC/ECD;Chromatography;6468;ISO 1996;
24DDT;LLE-GC-ECD;µg/l;2,4'-DDT;Liquid-Liquid Extraction Gas Chromatographic Method I with Electron Capture Detector;Chromatography;SM 6630 B;APHA 2012;"A sample is extracted three times in benzene or hexane. Add saturated sodium sulphate, methanol, iso-propanol or two-octanol to break down the emulsions. Add iso-octane and concentrate the combined extract, using a rotary evaporator flask. The extract is loaded on a Florisil® column and four separate fractions are eluted using hexane, 6% ethyl ether in petroleum ether, 15% ethyl ether in petroleum ether, then 50% ethyl ether in petroleum ether or chloroform. Concentrate in a rotary flask, transfer to a graduated centrifuge tube. Add iso-octane as a keeper and concentrate under a gentle stream of nitrogen at 40°C. The sample extract is then injected into a dual column GC/ECD and quantified, according to its retention time and peak height/area, using a multi-point calibration curve. Confirmation is achieved by chemical derivation techniques, TLC, or Mass Spectrometry.
 Interference: Other pesticide residues and their degradation products or metabolites and organic compounds, other than OCs and PCBs, may interfere. As many of these compounds cannot be separated, confirmation is required.
 The method detection limit is 0.001 µg/L."
24DDT;MI_C_10_007REV1_2000;µg/l;2,4'-DDT;analisi - MI/C/10/007 REV 1: 2000 - MATRICE ACQUA. DETERMINAZIONE DI RESIDUI DI PRODOTTI FITOSANITAR;;;;
24DDT;PB-04;µg/l;2,4'-DDT;PB-04/2006/PEl;;PB-04;PB-04;
24DDT;VMV_2863;ng/l;2,4'-DDT;Analysis of OCs, PCBs, CBs and PAHs in 1 L water samples by GC-ECD and GC-MSD.;Chromatography;VMV Method;VMV Method;
24DDT;VMV_3654;ng/l;2,4'-DDT;Chlorobenzenes and organochlorine pesticides by liquid-liquid extraction and GC-MS/MS detection.;Chromatography;VMV Method;VMV Method;
24DNP;0;µg/l;2,4-Dinitrophenol;;;;;Undefined Analysis Method
24DNT;0;µg/l;2,4-Dinitrotoluene;;;;;Undefined Analysis Method
24DP;0;µg/l;Dichlorprop;;;;;Undefined Analysis Method
24DP;VMV_247;ng/l;Dichlorprop;Acid herbicides extracted using Strata-X SPE cartridges.;Chromatography;VMV Method;VMV Method;
24DP;VMV_2865;ng/l;Dichlorprop;Analysis of acidic herbicides as PFBB esters by GC-ECD.;Chromatography;VMV Method;VMV Method;
24DP;VMV_3002;ng/l;Dichlorprop;Analysis of acidic herbicides in water using GC-MSD.;Chromatography;VMV Method;VMV Method;
26DCPHL;0;µg/l;2,6-Dichlorophenol;;;;;Undefined Analysis Method
26DNT;0;µg/l;2,6-dinitrotoluene;;;;;Undefined Analysis Method
2CLNAPHTHALENE;0;µg/l;2-Chloronaphthalene;;;;;Undefined Analysis Method
2CT;0;µg/l;1-Chloro-2-methylbenzene;;;;;Undefined Analysis Method
2CT;APAT5450_2003;µg/l;1-Chloro-2-methylbenzene;"Chlorinated solvents (static headspace + GC-ECD; dynamic headspace + GC-ECD) APAT 5450 (2003)";Chromatography;APAT 2003;APAT 2003;
2CVE;0;µg/l;2-Chloroethyl vinyl ether;;;;;Undefined Analysis Method
2MNPT;0;µg/l;2-Methylnaphthalene;;;;;Undefined Analysis Method
2MNPT;VMV_2863;ng/l;2-Methylnaphthalene;Analysis of OCs, PCBs, CBs and PAHs in 1 L water samples by GC-ECD and GC-MSD.;Chromatography;VMV Method;VMV Method;
2MPHL;0;µg/l;2-Methylphenol;;;;;Undefined Analysis Method
2NITROPHENOL;0;µg/l;2-Nitrophenol;;;;;Undefined Analysis Method
34DCA;0;µg/l;3,4-Dichloroaniline;;;;;Undefined Analysis Method
36DCP;0;µg/l;3,6-Dichloropyridine-2-carboxylic acid;;;;;Undefined Analysis Method
36DCP;VMV_247;ng/l;3,6-Dichloropyridine-2-carboxylic acid;Acid herbicides extracted using Strata-X SPE cartridges.;Chromatography;VMV Method;VMV Method;
36DCP;VMV_3002;ng/l;3,6-Dichloropyridine-2-carboxylic acid;Analysis of acidic herbicides in water using GC-MSD.;Chromatography;VMV Method;VMV Method;
44DDD;0;µg/l;4,4'-DDD;;;;;Undefined Analysis Method
44DDD;APAT5060_2003;µg/l;4,4'-DDD;Plant protection products (LLE or SPE + GC-NPD or HPLC-UV or GC-MS);Chromatography;APAT 2003;APAT 2003;
44DDD;EPA8080A;µg/l;4,4'-DDD;Organochlorine Pesticides and Polychlorinated Biphenyls by Gas Chromatography;Chromatography;8080A;EPA 1994;
44DDD;EPA8270D;µg/l;4,4'-DDD;Semivolatile Organic Compounds by Gas Chromatography/Mass Spectrometry;Chromatography;8270D;EPA 1998;
44DDD;GC;µg/l;4,4'-DDD;Gas Chromatography;Chromatography;;;
44DDD;GC-ECD;µg/l;4,4'-DDD;Gas Chromatography with Electron Capture Detection;Chromatography;;;
44DDD;GS-MS;µg/l;4,4'-DDD;Gas Chromatography with Mass Spectrometry Detection;Chromatography;;;
44DDD;ISO6468_1996;µg/l;4,4'-DDD;Determination of organochlorine pesticides by GC/ECD;Chromatography;6468;ISO 1996;A sample is extracted with 100ml of hexane, after separation of the phases, the organic phase is concentrated until 1ml by means of an automatic concentrator then analyzed by GC-µ ECD or GC- MS. In the case of the strongly polluted samples or containing polar substances susceptible to disrupt the interpretation of the chromatogram by the appearance of unknown peaks covering the peaks of the sought  compounds we proceed to a purification on a filled column of florisil éluant with two fractions of hexane-ether diéthylique F1 (94 :6) and F2 (50 :50). The confirmation is made on a column of different polarity or by GC / MS
44DDD;LLE-GC-ECD;µg/l;4,4'-DDD;Liquid-Liquid Extraction Gas Chromatographic Method I with Electron Capture Detector;Chromatography;SM 6630 B;APHA 2012;"A sample is extracted three times in benzene or hexane. Add saturated sodium sulphate, methanol, iso-propanol or two-octanol to break down the emulsions. Add iso-octane and concentrate the combined extract, using a rotary evaporator flask. The extract is loaded on a Florisil® column and four separate fractions are eluted using hexane, 6% ethyl ether in petroleum ether, 15% ethyl ether in petroleum ether, then 50% ethyl ether in petroleum ether or chloroform. Concentrate in a rotary flask, transfer to a graduated centrifuge tube. Add iso-octane as a keeper and concentrate under a gentle stream of nitrogen at 40°C. The sample extract is then injected into a dual column GC/ECD and quantified, according to its retention time and peak height/area, using a multi-point calibration curve. Confirmation is achieved by chemical derivation techniques, TLC, or Mass Spectrometry.
 Interference: Other pesticide residues and their degradation products or metabolites and organic compounds, other than OCs and PCBs, may interfere. As many of these compounds cannot be separated, confirmation is required.
 Alternate name: p,p'-TDE
 The method detection limit is 0.001 µg/L."
44DDD;MI_C_10_007REV1_2000;µg/l;4,4'-DDD;analisi - MI/C/10/007 REV 1: 2000 - MATRICE ACQUA. DETERMINAZIONE DI RESIDUI DI PRODOTTI FITOSANITAR;;;;
44DDD;VMV_2863;ng/l;4,4'-DDD;Analysis of OCs, PCBs, CBs and PAHs in 1 L water samples by GC-ECD and GC-MSD.;Chromatography;VMV Method;VMV Method;
44DDD;VMV_3654;ng/l;4,4'-DDD;Chlorobenzenes and organochlorine pesticides by liquid-liquid extraction and GC-MS/MS detection.;Chromatography;VMV Method;VMV Method;
44DDE;0;µg/l;4,4'-DDE;;;;;Undefined Analysis Method
44DDE;APAT5060_2003;µg/l;4,4'-DDE;Plant protection products (LLE or SPE + GC-NPD or HPLC-UV or GC-MS);Chromatography;APAT 2003;APAT 2003;
44DDE;EPA8080A;µg/l;4,4'-DDE;Organochlorine Pesticides and Polychlorinated Biphenyls by Gas Chromatography;Chromatography;8080A;EPA 1994;
44DDE;GC;µg/l;4,4'-DDE;Gas Chromatography;Chromatography;;;
44DDE;GC-ECD;µg/l;4,4'-DDE;Gas Chromatography with Electron Capture Detection;Chromatography;;;
44DDE;GS-MS;µg/l;4,4'-DDE;Gas Chromatography with Mass Spectrometry Detection;Chromatography;;;
44DDE;ISO6468_1996;µg/l;4,4'-DDE;Determination of organochlorine pesticides by GC/ECD;Chromatography;6468;ISO 1996;A sample is extracted with 100ml of hexane, after separation of the phases, the organic phase is concentrated until 1ml by means of an automatic concentrator then analyzed by GC-µ ECD or GC- MS. In the case of the strongly polluted samples or containing polar substances susceptible to disrupt the interpretation of the chromatogram by the appearance of unknown peaks covering the peaks of the sought  compounds we proceed to a purification on a filled column of florisil éluant with two fractions of hexane-ether diéthylique F1 (94 :6) and F2 (50 :50). The confirmation is made on a column of different polarity or by GC / MS
44DDE;LLE-GC-ECD;µg/l;4,4'-DDE;Liquid-Liquid Extraction Gas Chromatographic Method I with Electron Capture Detector;Chromatography;SM 6630 B;APHA 2012;"A sample is extracted three times in benzene or hexane. Add saturated sodium sulphate, methanol, iso-propanol or two-octanol to break down the emulsions. Add iso-octane and concentrate the combined extract, using a rotary evaporator flask. The extract is loaded on a Florisil® column and four separate fractions are eluted using hexane, 6% ethyl ether in petroleum ether, 15% ethyl ether in petroleum ether, then 50% ethyl ether in petroleum ether or chloroform. Concentrate in a rotary flask, transfer to a graduated centrifuge tube. Add iso-octane as a keeper and concentrate under a gentle stream of nitrogen at 40°C. The sample extract is then injected into a dual column GC/ECD and quantified, according to its retention time and peak height/area, using a multi-point calibration curve. Confirmation is achieved by chemical derivation techniques, TLC, or Mass Spectrometry.
 Interference: Other pesticide residues and their degradation products or metabolites and organic compounds, other than OCs and PCBs, may interfere. As many of these compounds cannot be separated, confirmation is required.
 The method detection limit is 0.001 µg/L."
44DDE;MI_C_10_007REV1_2000;µg/l;4,4'-DDE;analisi - MI/C/10/007 REV 1: 2000 - MATRICE ACQUA. DETERMINAZIONE DI RESIDUI DI PRODOTTI FITOSANITAR;;;;
44DDE;VMV_2863;ng/l;4,4'-DDE;Analysis of OCs, PCBs, CBs and PAHs in 1 L water samples by GC-ECD and GC-MSD.;Chromatography;VMV Method;VMV Method;
44DDE;VMV_3654;ng/l;4,4'-DDE;Chlorobenzenes and organochlorine pesticides by liquid-liquid extraction and GC-MS/MS detection.;Chromatography;VMV Method;VMV Method;
44DDT;0;µg/l;4,4'-DDT;;;;;Undefined Analysis Method
44DDT;APAT5060_2003;µg/l;4,4'-DDT;Plant protection products (LLE or SPE + GC-NPD or HPLC-UV or GC-MS);Chromatography;APAT 2003;APAT 2003;
44DDT;EPA8080A;µg/l;4,4'-DDT;Organochlorine Pesticides and Polychlorinated Biphenyls by Gas Chromatography;Chromatography;8080A;EPA 1994;
44DDT;EPA8270D;µg/l;4,4'-DDT;Semivolatile Organic Compounds by Gas Chromatography/Mass Spectrometry;Chromatography;8270D;EPA 1998;
44DDT;GC;µg/l;4,4'-DDT;Gas Chromatography;Chromatography;;;
44DDT;GC-ECD;µg/l;4,4'-DDT;Gas Chromatography with Electron Capture Detection;Chromatography;;;
44DDT;GS-MS;µg/l;4,4'-DDT;Gas Chromatography with Mass Spectrometry Detection;Chromatography;;;
44DDT;ISO6468_1996;µg/l;4,4'-DDT;Determination of organochlorine pesticides by GC/ECD;Chromatography;6468;ISO 1996;A sample is extracted with 100ml of hexane, after separation of the phases, the organic phase is concentrated until 1ml by means of an automatic concentrator then analyzed by GC-µ ECD or GC- MS. In the case of the strongly polluted samples or containing polar substances susceptible to disrupt the interpretation of the chromatogram by the appearance of unknown peaks covering the peaks of the sought  compounds we proceed to a purification on a filled column of florisil éluant with two fractions of hexane-ether diéthylique F1 (94 :6) and F2 (50 :50). The confirmation is made on a column of different polarity or by GC / MS
44DDT;LLE-GC-ECD;µg/l;4,4'-DDT;Liquid-Liquid Extraction Gas Chromatographic Method I with Electron Capture Detector;Chromatography;SM 6630 B;APHA 2012;"A sample is extracted three times in benzene or hexane. Add saturated sodium sulphate, methanol, iso-propanol or two-octanol to break down the emulsions. Add iso-octane and concentrate the combined extract, using a rotary evaporator flask. The extract is loaded on a Florisil® column and four separate fractions are eluted using hexane, 6% ethyl ether in petroleum ether, 15% ethyl ether in petroleum ether, then 50% ethyl ether in petroleum ether or chloroform. Concentrate in a rotary flask, transfer to a graduated centrifuge tube. Add iso-octane as a keeper and concentrate under a gentle stream of nitrogen at 40°C. The sample extract is then injected into a dual column GC/ECD and quantified, according to its retention time and peak height/area, using a multi-point calibration curve. Confirmation is achieved by chemical derivation techniques, TLC, or Mass Spectrometry.
 Interference: Other pesticide residues and their degradation products or metabolites and organic compounds, other than OCs and PCBs, may interfere. As many of these compounds cannot be separated, confirmation is required.
 The method detection limit is 0.001 µg/L."
44DDT;MI_C_10_007REV1_2000;µg/l;4,4'-DDT;analisi - MI/C/10/007 REV 1: 2000 - MATRICE ACQUA. DETERMINAZIONE DI RESIDUI DI PRODOTTI FITOSANITAR;;;;
44DDT;VMV_2863;ng/l;4,4'-DDT;Analysis of OCs, PCBs, CBs and PAHs in 1 L water samples by GC-ECD and GC-MSD.;Chromatography;VMV Method;VMV Method;
44DDT;VMV_3654;ng/l;4,4'-DDT;Chlorobenzenes and organochlorine pesticides by liquid-liquid extraction and GC-MS/MS detection.;Chromatography;VMV Method;VMV Method;
4BPPE;0;µg/l;4-Bromophenyl phenyl ether;;;;;Undefined Analysis Method
4CMPHL;0;µg/l;4-Chloro-2-methylphenol;;;;;Undefined Analysis Method
4NNPHL;0;µg/l;1-(4-Hydroxyphenyl)nonane;;;;;Undefined Analysis Method
4NNPHLBRA;0;µg/l;4-Nonylphenol (branched);;;;;Undefined Analysis Method
4NNPHLBRA;APAT5060_2003;µg/l;4-Nonylphenol (branched);Plant protection products (LLE or SPE + GC-NPD or HPLC-UV or GC-MS);Chromatography;APAT 2003;APAT 2003;
4NPHENOL;0;µg/l;4-Nitrophenol;;;;;Undefined Analysis Method
4OPHLH;0;µg/l;4-Octylphenol;;;;;Undefined Analysis Method
4TOTPHL;0;µg/l;4-tert-Octylphenol;;;;;Undefined Analysis Method
4TOTPHL;EPA8270D;µg/l;4-tert-Octylphenol;Semivolatile Organic Compounds by Gas Chromatography/Mass Spectrometry;Chromatography;8270D;EPA 1998;
4TOTPHL;ISO18857-1_2005;µg/l;4-tert-Octylphenol;Determination of selected alkylphenols. Method for non-filtered samples using liquid-liquid extracti;Chromatography;18857-1;ISO 2005;
4TOTPHL;MI_C_04_058REV0_2000;µg/l;4-tert-Octylphenol;analisi - MI/C/04/058 REV 0: 2000 - NONIL FENOLO (MISCELA DI ISOMERI) IN ACQUA;;;;
A340;0;;Absorbance at 340 nm;;;;;Undefined Analysis Method
ACETAMIPRID;0;µg/l;Acetamiprid;;;;;Undefined Analysis Method
ACETAMIPRID;VMV_3619;ng/l;Acetamiprid;Neonicotinoid insecticides in water are analyzed by ESI-LC-MS/MS.;Chromatography;VMV Method;VMV Method;
ACETAMIPRID;VMV_655;ng/l;Acetamiprid;Multi residue analysis of pesticides in water by solid phase extraction and LC-MS/MS.;Chromatography;VMV Method;VMV Method;
ACETOCHLOR;0;µg/l;Acetochlor;;;;;Undefined Analysis Method
ACHLORDANE;0;µg/l;Alpha-Chlordane;;;;;Undefined Analysis Method
ACHLORDANE;GC-ECD-ENV718;µg/l;Alpha-Chlordane;Gas Chromatography (ENV 718);Chromatography;ENV 718;Environment Canada 1995;A 1 litre sample is extracted by benzene or hexane, and the extract dried, concentrated and cleaned up on a Florisil column for the preliminary separation. The eluates are concentrated, and injected into a gas chromatograph using electron capture detection. The pesticide is confirmed qualitatively by thin layer chromatography (TLC) and measured quantitatively by comparing the non-solvent areas of the chromatogram to those of standard solutions of the purified pesticide.
ACHLORDANE;VMV_2863;ng/l;Alpha-Chlordane;Analysis of OCs, PCBs, CBs and PAHs in 1 L water samples by GC-ECD and GC-MSD.;Chromatography;VMV Method;VMV Method;
ACHLORDANE;VMV_3654;ng/l;Alpha-Chlordane;Chlorobenzenes and organochlorine pesticides by liquid-liquid extraction and GC-MS/MS detection.;Chromatography;VMV Method;VMV Method;
ACIFLUORFEN;VMV_3431;ng/l;Acifluorfen;Analysis of sulfonyl ureas and related herbicides by SPE and LC-MS/MS detection;Chromatography;VMV Method;VMV Method;
ACLONIFEN;0;µg/l;2-chloro-6-nitro-3-phenoxyaniline;;;;;Undefined Analysis Method
ACROLEIN;0;µg/l;Prop-2-enal;;;;;Undefined Analysis Method
ACRYLONITRILE;0;µg/l;Prop-2-enenitrile;;;;;Undefined Analysis Method
ALACHLOR;0;µg/l;Methachlor;;;;;Undefined Analysis Method
ALACHLOR;APAT5060_2003;µg/l;Methachlor;Plant protection products (LLE or SPE + GC-NPD or HPLC-UV or GC-MS);Chromatography;APAT 2003;APAT 2003;
ALACHLOR;EPA8080A;µg/l;Methachlor;Organochlorine Pesticides and Polychlorinated Biphenyls by Gas Chromatography;Chromatography;8080A;EPA 1994;
ALACHLOR;GC;µg/l;Methachlor;Gas Chromatography;Chromatography;;;
ALACHLOR;ISO10695_2000;µg/l;Methachlor;Determination of selected organic nitrogen and phosphorus compounds - Gas chromatographic methods;Chromatography;ISO 2000;ISO 2000;
ALACHLOR;ISO6468_1996;µg/l;Methachlor;Determination of organochlorine pesticides by GC/ECD;Chromatography;6468;ISO 1996;
ALACHLOR;MI_C_10_007REV1_2000;µg/l;Methachlor;analisi - MI/C/10/007 REV 1: 2000 - MATRICE ACQUA. DETERMINAZIONE DI RESIDUI DI PRODOTTI FITOSANITAR;;;;
